
-----------------------------------------------------------------------------
	######## CHOSEN CSMA TECHNIQUE IS : ONE PERSISTENT METHOD ########
-----------------------------------------------------------------------------


24/09/2021 20:40:25 CHANNEL has been initialised

24/09/2021 20:40:25 SENDER-1 starts sending data to RECEIVER1
24/09/2021 20:40:25 SENDER-2 starts sending data to RECEIVER2
24/09/2021 20:40:25 SENDER-3 starts sending data to RECEIVER3
24/09/2021 20:40:34 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:34 SENDER-3    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:34 RECEIVER-2  ||  PACKET RECEIVED

24/09/2021 20:40:34 SENDER-9    ||  PACKET 2 SENT TO CHANNEL
24/09/2021 20:40:34 SENDER-6    ||  PACKET 1 SENT TO CHANNEL
24/09/2021 20:40:35 SENDER-2    ||  PACKET 2 SENT TO CHANNEL
24/09/2021 20:40:35 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:35 SENDER-3    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:35 RECEIVER-9  ||  PACKET RECEIVED

24/09/2021 20:40:36 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-7    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:36 RECEIVER-6  ||  PACKET RECEIVED

24/09/2021 20:40:36 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:36 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-9    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-5    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:37 RECEIVER-2  ||  PACKET RECEIVED

24/09/2021 20:40:37 SENDER-9    ||  PACKET 3 SENT TO CHANNEL
24/09/2021 20:40:37 SENDER-6    ||  COLLISION
24/09/2021 20:40:37 SENDER-4    ||  COLLISION
24/09/2021 20:40:37 SENDER-7    ||  COLLISION
24/09/2021 20:40:37 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:37 SENDER-5    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-2    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-6    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-8    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-4    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-7    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-1    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-3    ||  FOUND CHANNEL BUSY
24/09/2021 20:40:38 SENDER-5    ||  FOUND CHANNEL BUSY

24/09/2021 20:40:38 RECEIVER-9  ||  PACKET RECEIVED

